ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
。	記号,句点,*,*,*,*,。,。,。
13	名詞,数,*,*,*,*,*
シュークリーム	名詞,一般,*,*,*,*,シュークリーム,シュークリーム,シュークリーム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つくり	動詞,自立,*,*,五段・ラ行,連用形,つくる,ツクリ,ツクリ
、	記号,読点,*,*,*,*,、,、,、
卵	名詞,一般,*,*,*,*,卵,タマゴ,タマゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
乳化	名詞,サ変接続,*,*,*,*,乳化,ニュウカ,ニューカ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
、	記号,読点,*,*,*,*,、,、,、
シュー	名詞,固有名詞,人名,姓,*,*,シュー,シュー,シュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
グルテン	名詞,一般,*,*,*,*,グルテン,グルテン,グルテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
加熱	名詞,サ変接続,*,*,*,*,加熱,カネツ,カネツ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
膨張	名詞,サ変接続,*,*,*,*,膨張,ボウチョウ,ボーチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
まなぶ	動詞,自立,*,*,五段・バ行,基本形,まなぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
合せ	動詞,自立,*,*,一段,連用形,合せる,アワセ,アワセ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
オーブン	名詞,一般,*,*,*,*,オーブン,オーブン,オーブン
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知る	動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
。	記号,句点,*,*,*,*,。,。,。
14	名詞,数,*,*,*,*,*
ブイヨン	名詞,一般,*,*,*,*,ブイヨン,ブイヨン,ブイヨン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
卵白	名詞,一般,*,*,*,*,卵白,ランパク,ランパク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
あく	名詞,一般,*,*,*,*,あく,アク,アク
取り	名詞,接尾,一般,*,*,*,取り,トリ,トリ
効果	名詞,一般,*,*,*,*,効果,コウカ,コーカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
西洋	名詞,一般,*,*,*,*,西洋,セイヨウ,セイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出汁	名詞,一般,*,*,*,*,出汁,ダシ,ダシ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
ブイヨン	名詞,一般,*,*,*,*,ブイヨン,ブイヨン,ブイヨン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
ポタージュ	名詞,一般,*,*,*,*,ポタージュ,ポタージュ,ポタージュ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
15	名詞,数,*,*,*,*,*
コールスロー	名詞,固有名詞,一般,*,*,*,コールスロー,コールスロー,コールスロー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
マヨネーズ	名詞,一般,*,*,*,*,マヨネーズ,マヨネーズ,マヨネーズ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
卵	名詞,一般,*,*,*,*,卵,タマゴ,タマゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
乳化	名詞,サ変接続,*,*,*,*,乳化,ニュウカ,ニューカ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実感	名詞,サ変接続,*,*,*,*,実感,ジッカン,ジッカン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
ホワイトソース	名詞,固有名詞,一般,*,*,*,ホワイトソース,ホワイトソース,ホワイトソース
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
マカロニグラタン	名詞,固有名詞,一般,*,*,*,マカロニグラタン,マカロニグラタン,マカロニグラタン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
グルテン	名詞,一般,*,*,*,*,グルテン,グルテン,グルテン
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
小麦粉	名詞,一般,*,*,*,*,小麦粉,コムギコ,コムギコ
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
品	名詞,接尾,一般,*,*,*,品,ヒン,ヒン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
西洋料理	名詞,固有名詞,一般,*,*,*,西洋料理,セイヨウリョウリ,セイヨーリョーリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
食文化	名詞,固有名詞,一般,*,*,*,食文化,ショクブンカ,ショクブンカ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
実技試験	名詞,固有名詞,一般,*,*,*,実技試験,ジツギシケン,ジツギシケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
室	名詞,接尾,一般,*,*,*,室,シツ,シツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
衛生	名詞,一般,*,*,*,*,衛生,エイセイ,エイセイ
管理	名詞,サ変接続,*,*,*,*,管理,カンリ,カンリ
、	記号,読点,*,*,*,*,、,、,、
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
注意事項	名詞,固有名詞,一般,*,*,*,注意事項,チュウイジコウ,チューイジコー
、	記号,読点,*,*,*,*,、,、,、
食品	名詞,一般,*,*,*,*,食品,ショクヒン,ショクヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
購入	名詞,サ変接続,*,*,*,*,購入,コウニュウ,コーニュー
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
。	記号,句点,*,*,*,*,。,。,。
2	名詞,数,*,*,*,*,*
もち米	名詞,一般,*,*,*,*,もち米,モチゴメ,モチゴメ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
うるち米	名詞,一般,*,*,*,*,うるち米,ウルチマイ,ウルチマイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
炊飯	名詞,一般,*,*,*,*,炊飯,スイハン,スイハン
実験	名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
米	名詞,固有名詞,地域,国,*,*,米,ベイ,ベイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
科学	名詞,一般,*,*,*,*,科学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
ガス	名詞,一般,*,*,*,*,ガス,ガス,ガス
と	助詞,並立助詞,*,*,*,*,と,ト,ト
IH	名詞,固有名詞,一般,*,*,*,IH,アイエイチ,アイエイチ
加熱調理	名詞,固有名詞,一般,*,*,*,加熱調理,カネツチョウリ,カネツチョーリ
器具	名詞,一般,*,*,*,*,器具,キグ,キグ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取り扱い	名詞,一般,*,*,*,*,取り扱い,トリアツカイ,トリアツカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
3	名詞,数,*,*,*,*,*
和風	名詞,一般,*,*,*,*,和風,ワフウ,ワフー
出汁	名詞,一般,*,*,*,*,出汁,ダシ,ダシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ
（	記号,括弧開,*,*,*,*,（,（,（
昆布	名詞,一般,*,*,*,*,昆布,コンブ,コンブ
、	記号,読点,*,*,*,*,、,、,、
鰹	名詞,一般,*,*,*,*,鰹,カツオ,カツオ
、	記号,読点,*,*,*,*,、,、,、
鰹	名詞,一般,*,*,*,*,鰹,カツオ,カツオ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
昆布	名詞,一般,*,*,*,*,昆布,コンブ,コンブ
、	記号,読点,*,*,*,*,、,、,、
にぼし	名詞,一般,*,*,*,*,煮干,ニボシ,ニボシ
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
まなび	動詞,自立,*,*,五段・バ行,連用形,まなぶ,マナビ,マナビ
、	記号,読点,*,*,*,*,、,、,、
出汁	名詞,一般,*,*,*,*,出汁,ダシ,ダシ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
取り	動詞,自立,*,*,五段・ラ行,連用形,取る,トリ,トリ
方	名詞,接尾,特殊,*,*,*,方,カタ,カタ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ
事	名詞,非自立,一般,*,*,*,事,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知る	動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
。	記号,句点,*,*,*,*,。,。,。
4	名詞,数,*,*,*,*,*
炊飯	名詞,一般,*,*,*,*,炊飯,スイハン,スイハン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
みそ	名詞,一般,*,*,*,*,みそ,ミソ,ミソ
汁	名詞,接尾,一般,*,*,*,汁,ジル,ジル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
、	記号,読点,*,*,*,*,、,、,、
食品	名詞,一般,*,*,*,*,食品,ショクヒン,ショクヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
計量	名詞,サ変接続,*,*,*,*,計量,ケイリョウ,ケイリョー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
しり	動詞,自立,*,*,五段・ラ行,連用形,しる,シリ,シリ
、	記号,読点,*,*,*,*,、,、,、
加工食品	名詞,固有名詞,一般,*,*,*,加工食品,カコウショクヒン,カコーショクヒン
、	記号,読点,*,*,*,*,、,、,、
発酵食品	名詞,固有名詞,一般,*,*,*,発酵食品,ハッコウショクヒン,ハッコーショクヒン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取り扱い	名詞,一般,*,*,*,*,取り扱い,トリアツカイ,トリアツカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
5	名詞,数,*,*,*,*,*
すまし汁	名詞,一般,*,*,*,*,すまし汁,スマシジル,スマシジル
、	記号,読点,*,*,*,*,、,、,、
炊き込みご飯	名詞,固有名詞,一般,*,*,*,炊き込みご飯,タキコミゴハン,タキコミゴハン
、	記号,読点,*,*,*,*,、,、,、
高野豆腐	名詞,固有名詞,一般,*,*,*,高野豆腐,コウヤドウフ,コウヤドウフ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
含め	動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
煮	動詞,自立,*,*,一段,連用形,煮る,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
合せ	動詞,自立,*,*,一段,連用形,合せる,アワセ,アワセ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
汁物	名詞,一般,*,*,*,*,汁物,シルモノ,シルモノ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ
、	記号,読点,*,*,*,*,、,、,、
炊き込みご飯	名詞,固有名詞,一般,*,*,*,炊き込みご飯,タキコミゴハン,タキコミゴハン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
行事	名詞,一般,*,*,*,*,行事,ギョウジ,ギョージ
食	名詞,接尾,一般,*,*,*,食,ショク,ショク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
郷土食	名詞,固有名詞,一般,*,*,*,郷土食,キョウドショク,キョードショク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含め	動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
和食	名詞,一般,*,*,*,*,和食,ワショク,ワショク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
食文化	名詞,固有名詞,一般,*,*,*,食文化,ショクブンカ,ショクブンカ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
6	名詞,数,*,*,*,*,*
魚	名詞,一般,*,*,*,*,魚,サカナ,サカナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
塩やき	名詞,サ変接続,*,*,*,*,塩焼き,シオヤキ,シオヤキ
、	記号,読点,*,*,*,*,、,、,、
青菜	名詞,一般,*,*,*,*,青菜,アオナ,アオナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ごま和え	名詞,一般,*,*,*,*,胡麻和え,ゴマアエ,ゴマアエ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
ゆでる	動詞,自立,*,*,一段,基本形,ゆでる,ユデル,ユデル
、	記号,読点,*,*,*,*,、,、,、
グリル	名詞,一般,*,*,*,*,グリル,グリル,グリル
で	助詞,格助詞,一般,*,*,*,で,デ,デ
焼く	動詞,自立,*,*,五段・カ行イ音便,基本形,焼く,ヤク,ヤク
操作	名詞,サ変接続,*,*,*,*,操作,ソウサ,ソーサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
魚	名詞,一般,*,*,*,*,魚,サカナ,サカナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
おろし	動詞,自立,*,*,五段・サ行,連用形,おろす,オロシ,オロシ
方	名詞,接尾,特殊,*,*,*,方,カタ,カタ
、	記号,読点,*,*,*,*,、,、,、
盛りつけ	名詞,一般,*,*,*,*,盛りつけ,モリツケ,モリツケ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
工夫	名詞,サ変接続,*,*,*,*,工夫,クフウ,クフー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
うつわ	名詞,一般,*,*,*,*,うつわ,ウツワ,ウツワ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
違い	名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
7	名詞,数,*,*,*,*,*
小麦粉	名詞,一般,*,*,*,*,小麦粉,コムギコ,コムギコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
強力粉	名詞,一般,*,*,*,*,強力粉,キョウリキコ,キョーリキコ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
薄力粉	名詞,一般,*,*,*,*,薄力粉,ハクリキコ,ハクリキコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
グルテン	名詞,一般,*,*,*,*,グルテン,グルテン,グルテン
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
違い	名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実験	名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
グルテン	名詞,一般,*,*,*,*,グルテン,グルテン,グルテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
品	名詞,接尾,一般,*,*,*,品,ヒン,ヒン
、	記号,読点,*,*,*,*,、,、,、
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
しない	名詞,一般,*,*,*,*,しない,シナイ,シナイ
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
品	名詞,接尾,一般,*,*,*,品,ヒン,ヒン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
8	名詞,数,*,*,*,*,*
グルテン	名詞,一般,*,*,*,*,グルテン,グルテン,グルテン
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
及ぼす	動詞,自立,*,*,五段・サ行,基本形,及ぼす,オヨボス,オヨボス
バター	名詞,一般,*,*,*,*,バター,バター,バター
、	記号,読点,*,*,*,*,、,、,、
砂糖	名詞,一般,*,*,*,*,砂糖,サトウ,サトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実験	名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
知る	動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
。	記号,句点,*,*,*,*,。,。,。
9	名詞,数,*,*,*,*,*
餃子	名詞,一般,*,*,*,*,餃子,ギョウザ,ギョーザ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
皮	名詞,一般,*,*,*,*,皮,カワ,カワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
、	記号,読点,*,*,*,*,、,、,、
グルテン	名詞,一般,*,*,*,*,グルテン,グルテン,グルテン
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
同時に	副詞,一般,*,*,*,*,同時に,ドウジニ,ドージニ
中華	名詞,一般,*,*,*,*,中華,チュウカ,チューカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
蒸し	動詞,自立,*,*,五段・サ行,連用形,蒸す,ムシ,ムシ
カステラ	名詞,一般,*,*,*,*,カステラ,カステラ,カステラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
米	名詞,固有名詞,地域,国,*,*,米,ベイ,ベイ
粉	名詞,接尾,一般,*,*,*,粉,コ,コ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
小麦粉	名詞,一般,*,*,*,*,小麦粉,コムギコ,コムギコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
違い	名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
比較	名詞,サ変接続,*,*,*,*,比較,ヒカク,ヒカク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
蒸し器	名詞,一般,*,*,*,*,蒸し器,ムシキ,ムシキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
蒸す	動詞,自立,*,*,五段・サ行,基本形,蒸す,フカス,フカス
、	記号,読点,*,*,*,*,、,、,、
フライパン	名詞,一般,*,*,*,*,フライパン,フライパン,フライパン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
焼く	動詞,自立,*,*,五段・カ行イ音便,基本形,焼く,ヤク,ヤク
操作	名詞,サ変接続,*,*,*,*,操作,ソウサ,ソーサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
10	名詞,数,*,*,*,*,*
辣黄	名詞,一般,*,*,*,*,*
瓜	名詞,一般,*,*,*,*,瓜,ウリ,ウリ
（	記号,括弧開,*,*,*,*,（,（,（
きゅうり	名詞,一般,*,*,*,*,きゅうり,キュウリ,キュウリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
辛	名詞,一般,*,*,*,*,辛,カラシ,カラシ
みあえ	動詞,自立,*,*,五段・ワ行促音便,命令ｅ,みあう,ミアエ,ミアエ
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
サンラータン	名詞,固有名詞,人名,一般,*,*,サンラータン,サンラータン,サンラータン
、	記号,読点,*,*,*,*,、,、,、
青椒肉絲	名詞,固有名詞,一般,*,*,*,青椒肉絲,チンジャオロース,チンジャオロース
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
。	記号,句点,*,*,*,*,。,。,。
混合	名詞,サ変接続,*,*,*,*,混合,コンゴウ,コンゴー
調味	名詞,サ変接続,*,*,*,*,調味,チョウミ,チョーミ
料	名詞,接尾,一般,*,*,*,料,リョウ,リョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用いる	動詞,自立,*,*,一段,基本形,用いる,モチイル,モチイル
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
中華料理	名詞,固有名詞,一般,*,*,*,中華料理,チュウカリョウリ,チューカリョーリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
食	名詞,一般,*,*,*,*,食,ショク,ショク
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
11	名詞,数,*,*,*,*,*
卵	名詞,一般,*,*,*,*,卵,タマゴ,タマゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新古	名詞,一般,*,*,*,*,新古,シンコ,シンコ
鑑別	名詞,サ変接続,*,*,*,*,鑑別,カンベツ,カンベツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実験	名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
12	名詞,数,*,*,*,*,*
卵	名詞,一般,*,*,*,*,卵,タマゴ,タマゴ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
条件	名詞,一般,*,*,*,*,条件,ジョウケン,ジョーケン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
希釈	名詞,サ変接続,*,*,*,*,希釈,キシャク,キシャク
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
